Date / Time,City,State,Shape,Duration,Summary,Posted
5/25/16 21:40,Edgewood,WA,Fireball,5 minutes,Lights seem to be hazy and red orange on outer edges and a yellow flame in the middle; objects seem to flicker and pulse.,42516
5/24/16 03:48,Orlando,FL,Fireball,5-7 minutes,"Observed an orange, low flying, fast moving, silent, fireball like obj. crossing the sky, E to W. Moments later a second one followed.",42516
5/23/16 21:50,St. Petersburg,FL,Fireball,~1 minute,From my address incoming due south approximately over Lake Maggorie.,42522
5/22/16 21:30,Pataskala,OH,Fireball,20 minutes,"Saw about a dozen balls of fire in the sky, some traveling together, moving north to south in a time frame of about 15-20 minutes.",42516
5/20/16 21:21,Mentor,OH,Fireball,2 minutes,"Three orange/red orbs flying west, approximately 3500 ft in the sky, estimated to be traveling 500 mph. Size of orbs possibly a round 3",42516
5/17/16 04:00,Canton,MI,Fireball,1 minute,"Driving N down I-275 (between Ford and sheldon exits) at 4 am and I see a green fireball rise up, then swoop back down towards the gro",42510
5/17/16 01:00,Leicester,MA,Fireball,5 minutes,Bright spot of light falling from the sky. ((NUFORC Note: Reported as a meteor. PD)),42510
5/17/16 00:50,Massena,NY,Fireball,15 seconds,Fiery lights in color resembling like a sparkler,42510
5/16/16 00:45,Riverhead,NY,Fireball,5 seconds,Circular green object entering our atmosphere turned into light storm of energy.???? ((NUFORC Note: Meteor??? PD)),42510
5/14/16 21:55,St. Augustine Beach,FL,Fireball,5 minutes,Me and my wife were sitting on the deck of a condo overlooking the ocean at st augustine beach. from the southeast over the ocean we sa,42516
